category,state
ad,Andorra la Vella
ad,Canillo
ad,Encamp
ad,Escaldes-Engordany
ad,La Massana
ad,Ordino
ad,Sant Julià de Loria
ae,Fujairah
ae,Ra's al Khaymah
ae,Umm al Qaywayn
ar,Buenos Aires F.D.
ar,Catamarca
ar,Chaco
ar,Chubut
ar,Corrientes
ar,Entre Rios
ar,Formosa
ar,Jujuy
ar,La Pampa
ar,La Rioja
ar,Misiones
ar,Neuquen
ar,Rio Negro
ar,Salta
ar,San Juan
ar,San Luis
ar,Santa Cruz
ar,Santa Fe
ar,Santiago del Estero
ar,Tierra del Fuego
ar,Tucuman
at,Burgenland
at,Carinthia
at,Lower Austria
at,Salzburg
at,Styria
at,Tyrol
at,Upper Austria
at,Vorarlberg
br,Acre
br,Alagoas
br,Amapa
br,Federal District
br,Maranhao
br,Mato Grosso do Sul
br,Paraíba
br,Piaui
br,Rio Grande do Norte
br,Rondonia
br,Roraima
br,Sergipe
br,Tocantins
ch,Aargau
ch,Appenzell Ausserrhoden
ch,Appenzell Innerrhoden
ch,Basel-City
ch,Basel-Landschaft
ch,Bern
ch,Fribourg
ch,Glarus
ch,Grisons
ch,Jura
ch,Lucerne
ch,Neuchâtel
ch,Nidwalden
ch,Obwalden
ch,Saint Gallen
ch,Schaffhausen
ch,Schwyz
ch,Thurgau
ch,Ticino
ch,Uri
ch,Valais
ch,Vaud
ch,Zug
cl,Aysén
cl,Los Lagos Region
cl,Los Ríos Region
cl,Maule Region
cl,O'Higgins Region
cl,Tarapacá
cl,Ñuble
co,Amazonas
co,Antioquia
co,Atlántico
co,Bogota D.C.
co,Cundinamarca
co,Departamento de Arauca
co,Departamento de Bolivar
co,Departamento de Boyaca
co,Departamento de Caldas
co,Departamento de Casanare
co,Departamento de Cordoba
co,Departamento de La Guajira
co,Departamento de Narino
co,Departamento de Norte de Santander
co,Departamento de Risaralda
co,Departamento de Santander
co,Departamento de Sucre
co,Departamento de Tolima
co,Departamento del Caqueta
co,Departamento del Cauca
co,Departamento del Cesar
co,Departamento del Choco
co,Departamento del Guainia
co,Departamento del Guaviare
co,Departamento del Huila
co,Departamento del Magdalena
co,Departamento del Meta
co,Departamento del Putumayo
co,Departamento del Valle del Cauca
co,Departamento del Vaupes
co,Departamento del Vichada
co,Quindio Department
co,San Andres y Providencia
cz,Benešov District
cz,Beroun District
cz,Blansko District
cz,Bruntál District
cz,Břeclav District
cz,Central Bohemia
cz,Cesky Krumlov
cz,Cheb District
cz,Chomutov District
cz,Chrudim District
cz,Domažlice District
cz,Děčín District
cz,Havlíčkův Brod District
cz,Hlavni mesto Praha
cz,Hodonín District
cz,Hradec Králové District
cz,Jablonec nad Nisou District
cz,Jeseník District
cz,Jihocesky kraj
cz,Jindřichův Hradec District
cz,Jičín District
cz,Karlovarsky kraj
cz,Kladno District
cz,Klatovy District
cz,Kraj Vysocina
cz,Kralovehradecky kraj
cz,Kroměříž District
cz,Kutná Hora District
cz,Liberec District
cz,Liberecky kraj
cz,Litoměřice District
cz,Louny District
cz,Mesto Brno
cz,Mladá Boleslav District
cz,Moravskoslezsky kraj
cz,Most District
cz,Mělník District
cz,Nový Jičín District
cz,Nymburk District
cz,Náchod District
cz,Okres Brno-venkov
cz,Okres Frydek-Mistek
cz,Okres Jihlava
cz,Okres Karlovy Vary
cz,Okres Karvina
cz,Okres Kolin
cz,Okres Ostrava-mesto
cz,Okres Plzen-jih
cz,Okres Plzen-mesto
cz,Okres Plzen-sever
cz,Okres Praha-vychod
cz,Okres Praha-zapad
cz,Okres Usti nad Labem
cz,Olomouc District
cz,Olomoucky kraj
cz,Opava District
cz,Pardubice District
cz,Pardubicky kraj
cz,Pelhřimov District
cz,Plzensky kraj
cz,Prachatice District
cz,Praha 1
cz,Praha 10
cz,Praha 11
cz,Praha 13
cz,Praha 14
cz,Praha 15
cz,Praha 21
cz,Praha 4
cz,Praha 5
cz,Praha 6
cz,Prostějov District
cz,Písek District
cz,Přerov District
cz,Příbram District
cz,Rakovník District
cz,Rokycany District
cz,Rychnov nad Kněžnou District
cz,Semily District
cz,Sokolov District
cz,South Moravian
cz,Strakonice District
cz,Svitavy District
cz,Tachov District
cz,Teplice District
cz,Trutnov District
cz,Tábor District
cz,Třebíč District
cz,Uherské Hradiště District
cz,Ustecky kraj
cz,Vsetín District
cz,Vyškov District
cz,Zlín
cz,Zlín District
cz,Znojmo District
cz,Ústí nad Orlicí District
cz,Česká Lípa District
cz,České Budějovice District
cz,Šumperk District
cz,Žďár nad Sázavou District
de,Bremen
de,Mecklenburg-Vorpommern
de,Rheinland-Pfalz
de,Saarland
de,Saxony-Anhalt
de,Schleswig-Holstein
ec,Provincia de Bolivar
ec,Provincia de Cotopaxi
ec,Provincia de El Oro
ec,Provincia de Esmeraldas
ec,Provincia de Francisco de Orellana
ec,Provincia de Galapagos
ec,Provincia de Imbabura
ec,Provincia de Loja
ec,Provincia de Los Rios
ec,Provincia de Manabi
ec,Provincia de Morona-Santiago
ec,Provincia de Napo
ec,Provincia de Pichincha
ec,Provincia de Santa Elena
ec,Provincia de Santo Domingo de los Tsachilas
ec,Provincia de Sucumbios
ec,Provincia de Zamora-Chinchipe
ec,Provincia del Azuay
ec,Provincia del Canar
ec,Provincia del Carchi
ec,Provincia del Chimborazo
ec,Provincia del Guayas
ec,Provincia del Pastaza
ec,Provincia del Tungurahua
es,A Coruña
es,Albacete
es,Alicante
es,Almeria
es,Andalusia
es,Araba / Álava
es,Aragon
es,Asturias
es,Avila
es,Badajoz
es,Balearic Islands
es,Basque Country
es,Biscay
es,Burgos
es,Caceres
es,Cadiz
es,Canary Islands
es,Cantabria
es,Castellon
es,Castille and León
es,Castille-La Mancha
es,Catalonia
es,Ceuta
es,Ciudad Real
es,Cordoba
es,Cuenca
es,Extremadura
es,Galicia
es,Gipuzkoa
es,Girona
es,Guadalajara
es,Huelva
es,Huesca
es,Jaen
es,La Rioja
es,Las Palmas
es,Leon
es,Lleida
es,Lugo
es,Malaga
es,Melilla
es,Murcia
es,Navarre
es,Ourense
es,Palencia
es,Pontevedra
es,Principality of Asturias
es,Salamanca
es,Santa Cruz de Tenerife
es,Saragossa
es,Segovia
es,Soria
es,Tarragona
es,Teruel
es,Toledo
es,Valladolid
es,Zamora
fi,Central Finland
fi,Central Ostrobothnia
fi,Kainuu
fi,Kymenlaakso
fi,Lapland
fi,North Karelia
fi,Northern Savo
fi,Ostrobothnia
fi,Päijänne Tavastia
fi,Satakunta
fi,South Karelia
fi,Southern Ostrobothnia
fi,Southern Savonia
fi,Tavastia Proper
fr,Aisne
fr,Allier
fr,Alpes-Maritimes
fr,Alpes-de-Haute-Provence
fr,Ardennes
fr,Ardèche
fr,Ariège
fr,Aube
fr,Aude
fr,Aveyron
fr,Bas-Rhin
fr,Bouches-du-Rhône
fr,Bourgogne-Franche-Comte
fr,Calvados
fr,Cantal
fr,Centre-Val de Loire
fr,Charente
fr,Charente-Maritime
fr,Cher
fr,Corrèze
fr,Corsica
fr,Cote d'Or
fr,Deux-Sèvres
fr,Dordogne
fr,Doubs
fr,Drôme
fr,Eure
fr,Eure-et-Loir
fr,Gard
fr,Gers
fr,Gironde
fr,Haute-Loire
fr,Haute-Marne
fr,Haute-Saône
fr,Haute-Vienne
fr,Hautes-Alpes
fr,Hautes-Pyrénées
fr,Hauts-de-Seine
fr,Hérault
fr,Ille-et-Vilaine
fr,Indre
fr,Indre and Loire
fr,Isère
fr,Jura
fr,Landes
fr,Loir-et-Cher
fr,Loire
fr,Loire-Atlantique
fr,Loiret
fr,Lot
fr,Lot-et-Garonne
fr,Lozère
fr,Maine-et-Loire
fr,Manche
fr,Marne
fr,Mayenne
fr,Meurthe et Moselle
fr,Meuse
fr,Morbihan
fr,Moselle
fr,Nièvre
fr,North
fr,Oise
fr,Orne
fr,Pas-de-Calais
fr,Puy-de-Dôme
fr,Pyrénées-Atlantiques
fr,Pyrénées-Orientales
fr,Rhône
fr,Sarthe
fr,Savoy
fr,Saône-et-Loire
fr,Seine-Maritime
fr,Seine-Saint-Denis
fr,Seine-et-Marne
fr,Somme
fr,South Corsica
fr,Tarn
fr,Tarn-et-Garonne
fr,Territoire de Belfort
fr,Upper Corsica
fr,Upper Garonne
fr,Val d'Oise
fr,Val-de-Marne
fr,Var
fr,Vaucluse
fr,Vendée
fr,Vienne
fr,Vosges
fr,Yonne
fr,Yvelines
gh,Ashanti Region
gh,Brong-Ahafo
gh,Central Region
gh,Eastern Region
gh,Greater Accra Region
gh,Northern Region
gh,Upper East Region
gh,Upper West Region
gh,Western Region
gr,Achaea
gr,Aitoloakarnania
gr,Arcadia
gr,Attica
gr,Central Greece
gr,Central Macedonia
gr,Chalkidikí
gr,Chania
gr,Chios
gr,Corinthia
gr,Crete
gr,Dodecanese
gr,East Macedonia and Thrace
gr,Epirus
gr,Euboea
gr,Evros
gr,Florina
gr,Grevena
gr,Ilia Prefecture
gr,Imathia
gr,Ioannina
gr,Ionian Islands
gr,Kastoria
gr,Kavala
gr,Kozani
gr,Laconia
gr,Lasithi
gr,Lefkada
gr,Lesbos
gr,Magnesia
gr,Messenia
gr,Mount Athos
gr,Nomos Argolidos
gr,Nomos Artas
gr,Nomos Dramas
gr,Nomos Evrytanias
gr,Nomos Irakleiou
gr,Nomos Kardhitsas
gr,Nomos Kefallinias
gr,Nomos Kerkyras
gr,Nomos Kilkis
gr,Nomos Kykladon
gr,Nomos Larisis
gr,Nomos Prevezis
gr,Nomos Rodopis
gr,Nomos Voiotias
gr,Nomos Zakynthou
gr,North Aegean
gr,Pella
gr,Peloponnese
gr,Phocis
gr,Phthiotis
gr,Pieria
gr,Rethymno
gr,Samos
gr,South Aegean
gr,Sérres
gr,Thesprotia
gr,Thessaloniki
gr,Thessaly
gr,Trikala
gr,West Greece
gr,West Macedonia
gr,Xanthi
hk,Central and Western District
hk,Eastern
hk,Islands District
hk,Kowloon City
hk,Kwai Tsing
hk,Kwun Tong
hk,North
hk,Sai Kung District
hk,Sha Tin
hk,Sham Shui Po
hk,Southern
hk,Tai Po District
hk,Tsuen Wan District
hk,Tuen Mun
hk,Wan Chai
hk,Wong Tai Sin
hk,Yau Tsim Mong
hk,Yuen Long District
id,Aceh
id,Bangka–Belitung Islands
id,Bengkulu
id,Central Kalimantan
id,Central Sulawesi
id,East Kalimantan
id,East Nusa Tenggara
id,Gorontalo
id,Jambi
id,Lampung
id,Maluku
id,North Kalimantan
id,North Maluku
id,North Sulawesi
id,Riau
id,Riau Islands
id,South Kalimantan
id,South Sulawesi
id,Southeast Sulawesi
id,West Kalimantan
id,West Nusa Tenggara
id,West Papua
id,West Sulawesi
id,West Sumatra
ie,Cavan
ie,Clare
ie,Co Kerry
ie,Co Kildare
ie,Co Longford
ie,County Cork
ie,County Donegal
ie,County Galway
ie,County Kilkenny
ie,County Leitrim
ie,County Mayo
ie,County Monaghan
ie,County Offaly
ie,County Roscommon
ie,County Sligo
ie,County Tipperary
ie,County Westmeath
ie,County Wexford
ie,County Wicklow
ie,Laois
ie,Limerick
ie,Louth
ie,Meath
ie,Waterford
in,Daman and Diu
is,Capital Region
is,East
is,Northeast
is,Northwest
is,South
is,Southern Peninsula
is,West
is,Westfjords
it,Abruzzo
it,Aosta Valley
it,Apulia
it,Ascoli Piceno
it,Bari
it,Basilicate
it,Bologna
it,Calabria
it,Catania
it,Friuli Venezia Giulia
it,Molise
it,Monza Brianza
it,Padua
it,Pesaro and Urbino
it,Province of Agrigento
it,Province of Arezzo
it,Province of Belluno
it,Province of Brindisi
it,Province of Caltanissetta
it,Province of Enna
it,Province of Fermo
it,Province of Florence
it,Province of Forlì-Cesena
it,Province of L'Aquila
it,Province of Mantua
it,Province of Massa-Carrara
it,Province of Messina
it,Province of Modena
it,Province of Parma
it,Province of Pisa
it,Province of Pordenone
it,Province of Ragusa
it,Province of Siena
it,Province of Sondrio
it,Province of Terni
it,Province of Trapani
it,Province of Trente
it,Province of Vibo Valentia
it,Provincia di Alessandria
it,Provincia di Ancona
it,Provincia di Asti
it,Provincia di Avellino
it,Provincia di Barletta - Andria - Trani
it,Provincia di Benevento
it,Provincia di Bergamo
it,Provincia di Biella
it,Provincia di Brescia
it,Provincia di Cagliari
it,Provincia di Campobasso
it,Provincia di Caserta
it,Provincia di Catanzaro
it,Provincia di Chieti
it,Provincia di Como
it,Provincia di Cosenza
it,Provincia di Cremona
it,Provincia di Crotone
it,Provincia di Cuneo
it,Provincia di Ferrara
it,Provincia di Foggia
it,Provincia di Frosinone
it,Provincia di Gorizia
it,Provincia di Grosseto
it,Provincia di Imperia
it,Provincia di Isernia
it,Provincia di La Spezia
it,Provincia di Latina
it,Provincia di Lecce
it,Provincia di Lecco
it,Provincia di Livorno
it,Provincia di Lodi
it,Provincia di Lucca
it,Provincia di Macerata
it,Provincia di Matera
it,Provincia di Novara
it,Provincia di Nuoro
it,Provincia di Oristano
it,Provincia di Pavia
it,Provincia di Perugia
it,Provincia di Pescara
it,Provincia di Piacenza
it,Provincia di Pistoia
it,Provincia di Potenza
it,Provincia di Prato
it,Provincia di Ravenna
it,Provincia di Reggio Calabria
it,Provincia di Reggio Emilia
it,Provincia di Rieti
it,Provincia di Rimini
it,Provincia di Rovigo
it,Provincia di Salerno
it,Provincia di Sassari
it,Provincia di Savona
it,Provincia di Taranto
it,Provincia di Teramo
it,Provincia di Treviso
it,Provincia di Trieste
it,Provincia di Udine
it,Provincia di Varese
it,Provincia di Vercelli
it,Provincia di Verona
it,Provincia di Vicenza
it,Provincia di Viterbo
it,Sardinia
it,Sicily
it,South Sardinia
it,South Tyrol
it,Syracuse
it,The Marches
it,Trentino-Alto Adige
it,Umbria
it,Valle d'Aosta
it,Venice
it,Verbania
jp,Aichi
jp,Chiba
jp,Ehime
jp,Fukuoka
jp,Fukushima-ken
jp,Gifu
jp,Gunma
jp,Hiroshima
jp,Hokkaido
jp,Hyōgo
jp,Ibaraki
jp,Ishikawa
jp,Iwate
jp,Kagawa
jp,Kagoshima
jp,Kanagawa
jp,Kochi
jp,Kumamoto
jp,Kyoto
jp,Mie
jp,Miyagi
jp,Miyazaki
jp,Nagano
jp,Nagasaki
jp,Nara
jp,Niigata
jp,Oita
jp,Okayama
jp,Okinawa
jp,Saga
jp,Saitama
jp,Shiga
jp,Shimane
jp,Shizuoka
jp,Tochigi
jp,Tottori
jp,Toyama
jp,Wakayama
jp,Yamagata
jp,Yamaguchi
jp,Yamanashi
kg,Batken
kg,Chuyskaya Oblast'
kg,Gorod Bishkek
kg,Issyk-Kul
kg,Jalal-Abad oblast
kg,Naryn oblast
kg,Osh Oblasty
kg,Talas
kr,Busan
kr,Chungcheongnam-do
kr,Daegu
kr,Daejeon
kr,Gangwon-do
kr,Gwangju
kr,Gyeonggi-do
kr,Gyeongsangbuk-do
kr,Gyeongsangnam-do
kr,Incheon
kr,Jeju-do
kr,Jeollabuk-do
kr,Jeollanam-do
kr,North Chungcheong
kr,Ulsan
lu,Capellen
lu,Clervaux
lu,Diekirch
lu,Echternach
lu,Esch-sur-Alzette
lu,Grevenmacher
lu,Luxembourg
lu,Mersch
lu,Redange
lu,Remich
lu,Vianden
lu,Wiltz
ma,Agadir-Ida-ou-Tnan
ma,Al-Haouz
ma,Al-Hoceima
ma,Azilal Province
ma,Beni Mellal-Khenifra
ma,Beni-Mellal
ma,Benslimane
ma,Berkane
ma,Boujdour
ma,Boulemane
ma,Casablanca
ma,Casablanca-Settat
ma,Chefchaouen Province
ma,Chichaoua
ma,Chtouka-Ait-Baha
ma,Dakhla-Oued Ed-Dahab
ma,Draa-Tafilalet
ma,El-Hajeb
ma,El-Jadida
ma,Errachidia
ma,Essaouira Province
ma,Fes
ma,Fes-Meknes
ma,Figuig
ma,Fquih Ben Salah Province
ma,Guelmim
ma,Guelmim-Oued Noun
ma,Ifrane
ma,Inezgane-Ait Melloul
ma,Jerada
ma,Kenitra Province
ma,Khemisset
ma,Khenifra
ma,Khouribga Province
ma,Laayoune
ma,Laayoune-Sakia El Hamra
ma,Larache
ma,M'Diq-Fnideq
ma,Marrakech
ma,Marrakesh-Safi
ma,Mediouna
ma,Meknes
ma,Mohammedia
ma,Nador
ma,Nouaceur
ma,Oriental
ma,Ouarzazate Province
ma,Oued-Ed-Dahab
ma,Ouezzane Province
ma,Oujda-Angad
ma,Rabat
ma,Rabat-Sale-Kenitra
ma,Safi
ma,Sale
ma,Sefrou
ma,Settat Province
ma,Sidi Slimane
ma,Sidi-Kacem
ma,Skhirate-Temara
ma,Souss-Massa
ma,Tan-Tan
ma,Tanger-Assilah
ma,Tanger-Tetouan-Al Hoceima
ma,Taounate Province
ma,Taourirt
ma,Tarfaya
ma,Taroudannt
ma,Tata
ma,Taza
ma,Tetouan
ma,Tinghir Province
ma,Tiznit Province
ma,Zagora
mx,Aguascalientes
mx,Baja California Sur
mx,Campeche
mx,Coahuila
mx,Colima
mx,Durango
mx,Estado de Mexico
mx,Hidalgo
mx,Morelos
mx,Nayarit
mx,Querétaro
mx,Quintana Roo
mx,San Luis Potosí
mx,Sinaloa
mx,Sonora
mx,Tabasco
mx,Tamaulipas
mx,Tlaxcala
mx,Yucatán
mx,Zacatecas
my,Johor
my,Kedah
my,Kelantan
my,Labuan
my,Melaka
my,Negeri Sembilan
my,Pahang
my,Penang
my,Perak
my,Perlis
my,Putrajaya
my,Sabah
my,Sarawak
my,Terengganu
ng,Abia State
ng,Adamawa
ng,Akwa Ibom State
ng,Anambra
ng,Bauchi
ng,Bayelsa State
ng,Benue State
ng,Borno State
ng,Cross River State
ng,Delta
ng,Ebonyi State
ng,Edo
ng,Ekiti State
ng,Enugu State
ng,FCT
ng,Gombe State
ng,Imo State
ng,Jigawa State
ng,Kaduna State
ng,Kano State
ng,Katsina State
ng,Kebbi
ng,Kogi State
ng,Kwara State
ng,Lagos
ng,Nasarawa State
ng,Niger State
ng,Ogun State
ng,Ondo State
ng,Osun State
ng,Oyo State
ng,Plateau State
ng,Rivers State
ng,Sokoto State
ng,Taraba State
ng,Yobe State
ng,Zamfara State
no,Akershus
no,Aust-Agder
no,Buskerud
no,Møre og Romsdal
no,Nordland
no,Rogaland
no,Telemark
no,Troms
no,Trøndelag
no,Vest-Agder
no,Vestfold
no,Østfold
pe,Amazonas
pe,Ancash
pe,Apurimac
pe,Arequipa
pe,Ayacucho
pe,Cajamarca
pe,Callao
pe,Cusco
pe,Departamento de Moquegua
pe,Huancavelica
pe,Ica
pe,Junin
pe,La Libertad
pe,Lambayeque
pe,Lima
pe,Lima region
pe,Loreto
pe,Madre de Dios
pe,Pasco
pe,Piura
pe,Puno
pe,Region de Huanuco
pe,Region de San Martin
pe,Tacna
pe,Tumbes
pe,Ucayali
ph,Autonomous Region in Muslim Mindanao
ph,Bicol
ph,Bohol
ph,Cagayan Valley
ph,Calabarzon
ph,Central Luzon
ph,Central Visayas
ph,Compostela Valley
ph,Cordillera
ph,Dinagat Islands
ph,Eastern Samar
ph,Eastern Visayas
ph,Ilocos
ph,Kalinga
ph,Mimaropa
ph,Mountain Province
ph,Northern Mindanao
ph,Northern Samar
ph,Oriental Mindoro
ph,Province of  Zamboanga del Sur
ph,Province of Abra
ph,Province of Agusan del Norte
ph,Province of Agusan del Sur
ph,Province of Aklan
ph,Province of Albay
ph,Province of Antique
ph,Province of Aurora
ph,Province of Basilan
ph,Province of Bataan
ph,Province of Batangas
ph,Province of Benguet
ph,Province of Bukidnon
ph,Province of Bulacan
ph,Province of Cagayan
ph,Province of Camarines Norte
ph,Province of Camarines Sur
ph,Province of Camiguin
ph,Province of Capiz
ph,Province of Catanduanes
ph,Province of Cavite
ph,Province of Cebu
ph,Province of Cotabato
ph,Province of Davao Oriental
ph,Province of Davao del Norte
ph,Province of Davao del Sur
ph,Province of Guimaras
ph,Province of Ilocos Norte
ph,Province of Ilocos Sur
ph,Province of Iloilo
ph,Province of Isabela
ph,Province of La Union
ph,Province of Laguna
ph,Province of Lanao del Norte
ph,Province of Lanao del Sur
ph,Province of Leyte
ph,Province of Maguindanao
ph,Province of Marinduque
ph,Province of Masbate
ph,Province of Mindoro Occidental
ph,Province of Misamis Occidental
ph,Province of Misamis Oriental
ph,Province of Negros Occidental
ph,Province of Negros Oriental
ph,Province of Nueva Ecija
ph,Province of Nueva Vizcaya
ph,Province of Palawan
ph,Province of Pampanga
ph,Province of Pangasinan
ph,Province of Quirino
ph,Province of Rizal
ph,Province of Romblon
ph,Province of Samar
ph,Province of Sarangani
ph,Province of Siquijor
ph,Province of Sorsogon
ph,Province of South Cotabato
ph,Province of Sultan Kudarat
ph,Province of Surigao del Norte
ph,Province of Surigao del Sur
ph,Province of Tarlac
ph,Province of Zambales
ph,Province of Zamboanga Sibugay
ph,Province of Zamboanga del Norte
ph,Quezon
ph,Soccsksargen
ph,Southern Leyte
ph,Western Visayas
ph,Zamboanga Peninsula
pl,Greater Poland
pl,Kujawsko-Pomorskie
pl,Lesser Poland
pl,Lower Silesia
pl,Lublin
pl,Lubusz
pl,Mazovia
pl,Opole Voivodeship
pl,Podlasie
pl,Pomerania
pl,Silesia
pl,Subcarpathian
pl,Warmia-Masuria
pl,West Pomerania
pl,Łódź Voivodeship
pl,Świętokrzyskie
pt,Aveiro
pt,Beja
pt,Braga
pt,Coimbra
pt,Faro
pt,Guarda
pt,Leiria
pt,Madeira
pt,Portalegre
pt,Santarém
pt,Setúbal
pt,Vila Real
pt,Viseu
qa,Al Wakrah
qa,Al-Shahaniya
qa,Baladiyat Umm Salal
qa,Baladiyat al Khawr wa adh Dhakhirah
qa,Baladiyat ar Rayyan
qa,Baladiyat ash Shamal
qa,Baladiyat az Za'ayin
ro,Alba
ro,Arad
ro,Arges
ro,Bacau
ro,Bihor
ro,Bistrita-Nasaud
ro,Botosani
ro,Braila
ro,Brasov
ro,Bucuresti
ro,Buzau
ro,Calarasi
ro,Caras-Severin
ro,Cluj
ro,Constanta
ro,Covasna
ro,Dambovita
ro,Dolj
ro,Galati
ro,Giurgiu
ro,Gorj
ro,Harghita
ro,Hunedoara
ro,Ialomita
ro,Iasi
ro,Ilfov
ro,Maramureş
ro,Mehedinti
ro,Mures
ro,Neamt
ro,Olt
ro,Prahova
ro,Salaj
ro,Satu Mare
ro,Sibiu
ro,Suceava
ro,Teleorman
ro,Timis
ro,Tulcea
ro,Valcea
ro,Vaslui
ro,Vrancea
sa,'Asir
sa,Al Bahah
sa,Al Jawf
sa,Al Madinah al Munawwarah
sa,Al-Qassim
sa,Ar Riyāḑ
sa,Eastern Province
sa,Hai'l Region
sa,Jizan
sa,Makkah Province
sa,Najran
sa,Northern Borders
sa,Tabuk
se,Uppsala
se,Värmland
se,Västerbotten
se,Västernorrland
se,Västmanland
se,Örebro
se,Östergötland
sm,Castello di Acquaviva
sm,Castello di Borgo Maggiore
sm,Castello di Domagnano
sm,Castello di Faetano
sm,Castello di Fiorentino
sm,Castello di Montegiardino
sm,Castello di San Marino Citta
sm,Chiesanuova
sm,Serravalle
tr,Adana
tr,Adiyaman
tr,Afyonkarahisar
tr,Aksaray
tr,Amasya
tr,Ankara
tr,Antalya
tr,Ardahan
tr,Artvin
tr,Aydın
tr,Ağrı
tr,Bartın
tr,Batman
tr,Bayburt
tr,Bilecik
tr,Bingöl
tr,Bitlis
tr,Bolu
tr,Burdur
tr,Bursa
tr,Canakkale
tr,Denizli
tr,Duezce
tr,Edirne
tr,Elazığ
tr,Erzincan
tr,Erzurum
tr,Eskişehir
tr,Gaziantep
tr,Giresun
tr,Guemueshane
tr,Hakkâri
tr,Hatay
tr,Isparta
tr,Istanbul
tr,Izmir
tr,Iğdır
tr,Karabuek
tr,Karaman
tr,Kars
tr,Kastamonu
tr,Kayseri
tr,Kilis
tr,Kocaeli
tr,Konya
tr,Kütahya
tr,Kırklareli
tr,Kırıkkale
tr,Kırşehir
tr,Malatya
tr,Manisa
tr,Mardin
tr,Mersin
tr,Muş
tr,Nevsehir
tr,Nigde
tr,Ordu
tr,Osmaniye
tr,Rize
tr,Sakarya
tr,Samsun
tr,Siirt
tr,Sinop
tr,Sivas
tr,Tekirdağ
tr,Tokat
tr,Trabzon
tr,Tunceli
tr,Uşak
tr,Van
tr,Yalova
tr,Yozgat
tr,Zonguldak
tr,Çankırı
tr,Çorum
tr,Şanlıurfa
tr,Şırnak
tw,Changhua
tw,Chiayi
tw,Chiayi County
tw,Hsinchu
tw,Hsinchu County
tw,Hualien
tw,Keelung
tw,Kinmen County
tw,Lienchiang
tw,Miaoli
tw,Nantou
tw,Penghu County
tw,Pingtung
tw,Tainan
tw,Taitung
tw,Taoyuan
tw,Yilan
tw,Yunlin
us,Armed Forces Americas
us,Armed Forces Europe
us,Armed Forces Pacific
us,Federated States of Micronesia
ve,Amazonas
ve,Anzoátegui
ve,Apure
ve,Aragua
ve,Barinas
ve,Bolívar
ve,Carabobo
ve,Cojedes
ve,Delta Amacuro
ve,Dependencias Federales
ve,Distrito Federal
ve,Estado Trujillo
ve,Falcón
ve,Guárico
ve,Lara
ve,Miranda
ve,Monagas
ve,Mérida
ve,Nueva Esparta
ve,Portuguesa
ve,Sucre
ve,Táchira
ve,Vargas
ve,Yaracuy
ve,Zulia
vn,An Giang
vn,Can Tho
vn,Da Nang
vn,Dak Nong
vn,Gia Lai
vn,Haiphong
vn,Hanoi
vn,Ho Chi Minh
vn,Hậu Giang
vn,Kon Tum
vn,Long An
vn,Quảng Ngãi Province
vn,Tinh Ba Ria-Vung Tau
vn,Tinh Bac Giang
vn,Tinh Bac Kan
vn,Tinh Bac Lieu
vn,Tinh Bac Ninh
vn,Tinh Ben Tre
vn,Tinh Binh Duong
vn,Tinh Binh GJinh
vn,Tinh Binh Phuoc
vn,Tinh Binh Thuan
vn,Tinh Ca Mau
vn,Tinh Cao Bang
vn,Tinh Dien Bien
vn,Tinh GJong Nai
vn,Tinh GJong Thap
vn,Tinh Ha Giang
vn,Tinh Ha Nam
vn,Tinh Ha Tinh
vn,Tinh Hai Duong
vn,Tinh Hoa Binh
vn,Tinh Hung Yen
vn,Tinh Khanh Hoa
vn,Tinh Kien Giang
vn,Tinh Lai Chau
vn,Tinh Lam GJong
vn,Tinh Lang Son
vn,Tinh Lao Cai
vn,Tinh Nam GJinh
vn,Tinh Nghe An
vn,Tinh Ninh Binh
vn,Tinh Ninh Thuan
vn,Tinh Phu Tho
vn,Tinh Phu Yen
vn,Tinh Quang Binh
vn,Tinh Quang Nam
vn,Tinh Quang Ninh
vn,Tinh Quang Tri
vn,Tinh Soc Trang
vn,Tinh Son La
vn,Tinh Thai Binh
vn,Tinh Thai Nguyen
vn,Tinh Thanh Hoa
vn,Tinh Thua Thien-Hue
vn,Tinh Tien Giang
vn,Tinh Tra Vinh
vn,Tinh Tuyen Quang
vn,Tinh Vinh Long
vn,Tinh Vinh Phuc
vn,Tinh Yen Bai
vn,Tây Ninh Province
vn,Đắk Lắk
